## Test_Name
Water in Blue[X]

## IronSword_Name
Iron Sword[X]

## SlimSword_Name
Slim Sword[X]

## FineSword_Name
Fine Sword[X]

## GiltSword_Name
Gilt Sword[X]

## IronBlade_Name
Iron Blade[X]
	
## SlimBlade_Name
Slim Blade[X]

## FineBlade_Name
Fine Blade[X]

## GiltBlade_Name
Gilt Blade[X]

## CuttingEdge_Name
Cutting Edge[X]

## BleedinEdge_Name
Bleedin' Edge[X]

## BraveDirk_Name
Brave Dirk[X]

## ValiantDirk_Name
Valiant Dirk[X]

## Lancereaver_Name
Lancereaver[X]

## IronLance_Name
Iron Lance[X]

## SlimLance_Name
Slim Lance[X]

## FineLance_Name
Fine Lance[X]

## GiltLance_Name
Gilt Lance[X]

## IronGlaive_Name
Iron Glaive[X]

## SlimGlaive_Name
Slim Glaive[X]

## FineGlaive_Name
Fine Glaive[X]

## GiltGlaive_Name
Gilt Glaive[X]

## Javelin_Name
Javelin[X]

## Spear_Name
Spear[X]

## FervidPike_Name
Fervid Pike[X]

## FrigidPike_Name
Frigid Pike[X]

## ForkedPike_Name
Forked Pike[X]

## FlurryPike_Name
Flurry Pike[X]

## Axereaver_Name
Axereaver[X]

## IronAxe_Name
Iron Axe[X]

## SlimAxe_Name
Slim Axe[X]

## FineAxe_Name
Fine Axe[X]

## GiltAxe_Name
Gilt Axe[X]

## IronLabrys_Name
Iron Labrys[X]

## SlimLabrys_Name
Slim Labrys[X]

## FineLabrys_Name
Fine Labrys[X]

## GiltLabrys_Name
Gilt Labrys[X]

## HandAxe_Name
Hand Axe[X]

## Tomahawk_Name
Tomahawk[X]

## CuttingYue_Name
Cutting Yue[X]

## BleedinYue_Name
Bleedin' Yue[X]

## Swordreaver_Name
Swordreaver[X]

## FirFlatbow_Name
Fir Flatbow[X]

## ElmFlatbow_Name
Elm Flatbow[X]

## AshFlatbow_Name
Ash Flatbow[X]

## OakFlatbow_Name
Oak Flatbow[X]

## FirLongbow_Name
Fir Longbow[X]

## ElmLongbow_Name
Elm Longbow[X]

## AshLongbow_Name
Ash Longbow[X]

## OakLongbow_Name
Oak Longbow[X]

## GlintingYumi_Name
Glinting Yumi[X]

## GlaringYumi_Name
Glaring Yumi[X]

## GloriousYumi_Name
Glorious Yumi[X]

## BoldSelf_Name
Bold Self[X]

## BraveSelf_Name
Brave Self[X]

## ValiantSelf_Name
Valiant Self[X]

## ClassicFire_Name
Classic Fire[X]

## MysticFire_Name
Mystic Fire[X]

## OrphicFire_Name
Orphic Fire[X]

## ClassicGulf_Name
Classic Gulf[X]

## MysticGulf_Name
Mystic Gulf[X]

## OrphicGulf_Name
Orphic Gulf[X]

## ClassicJolt_Name
Classic Jolt[X]

## MysticJolt_Name
Mystic Jolt[X]

## OrphicJolt_Name
Orphic Jolt[X]

## ClassicBolt_Name
Classic Bolt[X]

## MysticBolt_Name
Mystic Bolt[X]

## OrphicBolt_Name
Orphic Bolt[X]

## ClassicWind_Name
Classic Wind[X]

## MysticWind_Name
Mystic Wind[X]

## OrphicWind_Name
Orphic Wind[X]

## ClassicGale_Name
Classic Gale[X]

## MysticGale_Name
Mystic Gale[X]

## OrphicGale_Name
Orphic Gale[X]

## ProsaicGlow_Name
Prosaic Glow[X]

## BeneficGlow_Name
Benefic Glow[X]

## AngelicGlow_Name
Angelic Glow[X]

## ProsaicRadi_Name
Prosaic Radi[X]

## BeneficRadi_Name
Benefic Radi[X]

## AngelicRadi_Name
Angelic Radi[X]

## ProsaicRule_Name
Prosaic Rule[X]

## BeneficRule_Name
Benefic Rule[X]

## AngelicRule_Name
Angelic Rule[X]

## ProsaicFall_Name
Prosaic Fall[X]

## BeneficFall_Name
Benefic Fall[X]

## AngelicFall_Name
Angelic Fall[X]

## ProsaicHoly_Name
Prosaic Holy[X]

## BeneficHoly_Name
Benefic Holy[X]

## AngelicHoly_Name
Angelic Holy[X]

## ProsaicLife_Name
Prosaic Life[X]

## BeneficLife_Name
Benefic Life[X]

## AngelicLife_Name
Angelic Life[X]

## BasicFlux_Name
Basic Flux[X]

## MaleficFlux_Name
Malefic Flux[X]

## DemonicFlux_Name
Demonic Flux[X]

## BasicRuin_Name
Basic Ruin[X]

## MaleficRuin_Name
Malefic Ruin[X]

## DemonicRuin_Name
Demonic Ruin[X]

## BasicAcid_Name
Basic Acid[X]

## MaleficAcid_Name
Malefic Acid[X]

## DemonicAcid_Name
Demonic Acid[X]

## BasicMire_Name
Basic Mire[X]

## MaleficMire_Name
Malefic Mire[X]

## DemonicMire_Name
Demonic Mire[X]

## BasicNull_Name
Basic Null[X]

## MaleficNull_Name
Malefic Null[X]

## DemonicNull_Name
Demonic Null[X]

## BasicVoid_Name
Basic Void[X]

## MaleficVoid_Name
Malefic Void[X]

## DemonicVoid_Name
Demonic Void[X]

## HealInjuries_Name
Heal Injuries[X]

## MendWounds_Name
Mend Wounds[X]

## FullRecover_Name
Full Recover[X]

## LongPhysick_Name
Long Physick[X]

## Fortification_Name
Fortification[X]

## Restoration_Name
Restoration[X]

## SilenceWord_Name
Silence Word[X]

## SlumberMind_Name
Slumber Mind[X]

## IncenseSoul_Name
Agitate Soul[X]

## Ingression_Name
Ingression[X]

## Egression_Name
Egression[X]

## Illumination_Name
Illumination[X]

## Reformation_Name
Reformation[X]

## UnboltLock_Name
Unbolt Lock[X]

## ImbueBarrier_Name
Imbue Barrier[X]

## DivineTruth_Name
Divine Truth[X]

## Acceleration_Name
Acceleration[X]

## Manafication_Name
Manafication[X]

## Invigoration_Name
Invigoration[X]

## Amelioration_Name
Amelioration[X]

## Traipsation_Name
Traipsation[X]

## Exhilaration_Name
Exhilaration[X]

## Debilitation_Name
Debilitation[X]

## Trismegistos_Name
Trismegistos[X]

## FireInRed_Name
Fire in Red[X]

## WaterInBlue_Name
Water in Blue[X]

## AeroInGreen_Name
Aero in Green[X]




## IronWeapon_Desc
An ordinary weapon.[X]

## SlimWeapon_Desc
A reliable weapon.[X]

## FineWeapon_Desc
A precision weapon.[X]

## GiltWeapon_Desc
A masterwork weapon.[X]

## IronHeavy_Desc
A large weapon.[X]

## SlimHeavy_Desc
An unwieldy weapon.[X]

## FineHeavy_Desc
A hulking weapon.[X]

## GiltHeavy_Desc
A colossal weapon.[X]

## KillerWeapon_Desc
A sharpened weapon.[X]

## BraveWeapon_Desc
A brazening weapon.[X]

## RangedWeapon_Desc
A self-returning weapon.[X]

## MagicWeapon_Desc
A runically-infused weapon.[X]

## ReaverWeapon_Desc
A bewildering weapon.[X]

## FirBow_Desc
A limply-strung bow.[X]

## ElmBow_Desc
A loosely-strung bow.[X]

## AshBow_Desc
A well-strung bow.[X]

## OakBow_Desc
A tightly-strung bow.[X]

## ClassicMagic_Desc
An elementary spell.[X]

## MysticMagic_Desc
An advanced spell.[X]

## OrphicMagic_Desc
An incredible spell.[X]

## GulfMagic_Desc
An intelligence-diminishing spell.[X]

## JoltMagic_Desc
A movement-diminishing spell.[X]

## BoltMagic_Desc
A far-reaching spell.[X]

## WindMagic_Desc
A speed-bolstering spell.[X]

## RuleMagic_Desc
A defense-bolstering spell.[X]

## FallMagic_Desc
A dexterity/luck-diminishing spell.[X]

## ProsaicHoly_Desc
An unstable spell.[X]

## BeneficHoly_Desc
An explosive spell.[X]

## AngelicHoly_Desc
An overwhelming spell.[X]

## LifeMagic_Desc
A vitality-siphoning spell.[X]

## AcidMagic_Desc
A strength-diminishing spell.[X]

## MireMagic_Desc
The bog prevents follow-ups.[X]

## NullMagic_Desc
A resistance-piercing spell.[X]

## HealInjuries_Desc
A rudimentary curative staff.[X]

## MendWounds_Desc
A moderate curative staff.[X]

## LongPhysick_Desc
A far-reaching curative staff.[X]

## FullRecover_Desc
A complete curative staff.[X]

## Fortification_Desc
An almighty curative staff.[X]

## Restoration_Desc
A ailment-dispelling staff.[X]

## SilenceWord_Desc
A incantation-blocking staff.[X]

## SlumberMind_Desc
A drowsiness-inflicting staff.[X]

